T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
220.0,6391.0,4562.0,188.683
230.0,6683.0,4771.0,189.98
240.0,6975.0,4979.0,191.221
250.0,7266.0,5188.0,192.411
260.0,7558.0,5396.0,193.554
270.0,7849.0,5604.0,194.654
280.0,8140.0,5812.0,195.713
290.0,8432.0,6020.0,196.735
298.0,8669.0,6190.0,197.543
300.0,8723.0,6229.0,197.723
310.0,9014.0,6437.0,198.678
320.0,9306.0,6645.0,199.603
330.0,9597.0,6854.0,200.5
340.0,9889.0,7062.0,201.371
350.0,10181.0,7271.0,202.217
360.0,10473.0,7480.0,203.04
370.0,10765.0,7689.0,203.842
380.0,11058.0,7899.0,204.622
390.0,11351.0,8108.0,205.383
400.0,11644.0,8319.0,206.125
410.0,11938.0,8529.0,206.85
420.0,12232.0,8740.0,207.549
430.0,12526.0,8951.0,208.252
440.0,12821.0,9163.0,208.929
450.0,13116.0,9375.0,209.593
460.0,13412.0,9587.0,210.243
470.0,13708.0,9800.0,210.88
480.0,14005.0,10014.0,211.504
490.0,14302.0,10228.0,212.117
500.0,14600.0,10443.0,212.719
510.0,14898.0,10658.0,213.31
520.0,15197.0,10874.0,213.89
530.0,15497.0,11090.0,214.46
540.0,15797.0,11307.0,215.02
550.0,16097.0,11524.0,215.572
560.0,16399.0,11743.0,216.115
570.0,16701.0,11961.0,216.649
580.0,17003.0,12181.0,217.175
590.0,17307.0,12401.0,217.693
600.0,17611.0,12622.0,218.204
610.0,17915.0,12843.0,218.708
620.0,18221.0,13066.0,219.205
630.0,18527.0,13289.0,219.695
640.0,18833.0,13512.0,220.179
650.0,19141.0,13736.0,220.656
660.0,19449.0,13962.0,221.127
670.0,19758.0,14187.0,221.592
680.0,20068.0,14414.0,222.052
690.0,20378.0,14641.0,222.505
700.0,20690.0,14870.0,222.953
710.0,21002.0,15099.0,223.396
720.0,21315.0,15328.0,223.833
730.0,21628.0,15558.0,224.265
740.0,21943.0,15789.0,224.692
750.0,22258.0,16022.0,225.115
760.0,22573.0,16255.0,225.533
770.0,22890.0,16488.0,225.947
780.0,23208.0,16723.0,226.357
790.0,23526.0,16957.0,226.762
800.0,23844.0,17193.0,227.162
810.0,24164.0,17429.0,227.559
820.0,24483.0,17665.0,227.952
830.0,24803.0,17902.0,228.339
840.0,25124.0,18140.0,228.724
850.0,25446.0,18379.0,229.106
860.0,25768.0,18617.0,229.482
870.0,26091.0,18858.0,229.856
880.0,26415.0,19099.0,230.227
890.0,26740.0,19341.0,230.593
900.0,27066.0,19583.0,230.957
910.0,27392.0,19826.0,231.317
920.0,27719.0,20070.0,231.674
930.0,28046.0,20314.0,232.028
940.0,28375.0,20559.0,232.379
950.0,28703.0,20805.0,232.727
960.0,29033.0,21051.0,233.072
970.0,29362.0,21298.0,233.413
980.0,29693.0,21545.0,233.752
990.0,30024.0,21793.0,234.088
1000.0,30355.0,22041.0,234.421
1020.0,31020.0,22540.0,235.079
1040.0,31688.0,23041.0,235.728
1060.0,32357.0,23544.0,236.364
1080.0,33029.0,24049.0,236.992
1100.0,33702.0,24557.0,237.609
1120.0,34377.0,25065.0,238.217
1140.0,35054.0,25575.0,238.817
1160.0,35733.0,26088.0,239.407
1180.0,36406.0,26602.0,239.989
1200.0,37095.0,27118.0,240.663
1220.0,37780.0,27637.0,241.128
1240.0,38466.0,28426.0,241.686
1260.0,39154.0,28678.0,242.236
1280.0,39844.0,29201.0,242.78
1300.0,40534.0,29725.0,243.316
1320.0,41226.0,30251.0,243.844
1340.0,41919.0,30778.0,244.366
1360.0,42613.0,31306.0,244.88
1380.0,43309.0,31836.0,245.388
1400.0,44007.0,32367.0,245.889
1420.0,44707.0,32900.0,246.385
1440.0,45408.0,33434.0,246.876
1460.0,46110.0,33971.0,247.36
1480.0,46813.0,34508.0,247.839
1500.0,47517.0,35046.0,248.312
1520.0,48222.0,35584.0,248.778
1540.0,48928.0,36124.0,249.24
1560.0,49635.0,36665.0,249.695
1580.0,50344.0,37207.0,250.147
1600.0,51053.0,37750.0,250.592
1620.0,51763.0,38293.0,251.033
1640.0,52472.0,38837.0,251.47
1660.0,53184.0,39382.0,251.901
1680.0,53895.0,39927.0,252.329
1700.0,54609.0,40474.0,252.751
1720.0,55323.0,41023.0,253.169
1740.0,56039.0,41572.0,253.582
1760.0,56756.0,42123.0,253.991
1780.0,57473.0,42673.0,254.398
1800.0,58191.0,43225.0,254.797
1820.0,58910.0,43778.0,255.194
1840.0,59629.0,44331.0,255.587
1860.0,60351.0,44886.0,255.976
1880.0,61072.0,45441.0,256.361
1900.0,61794.0,45997.0,256.743
1920.0,62516.0,46552.0,257.122
1940.0,63238.0,47108.0,257.497
1960.0,63961.0,47665.0,257.868
1980.0,64684.0,48221.0,258.236
2000.0,65408.0,48780.0,258.6
2050.0,67224.0,50179.0,259.494
2100.0,69044.0,51584.0,260.37
2150.0,70864.0,52988.0,261.226
2200.0,72688.0,54396.0,262.065
2250.0,74516.0,55809.0,262.887
2300.0,76345.0,57222.0,263.692
2350.0,78178.0,58640.0,264.48
2400.0,80015.0,60060.0,265.253
2450.0,81852.0,61482.0,266.012
2500.0,83692.0,62906.0,266.755
2550.0,85537.0,64335.0,267.485
2600.0,87383.0,65766.0,268.202
2650.0,89230.0,67197.0,268.905
2700.0,91077.0,68628.0,269.596
2750.0,92930.0,70066.0,270.285
2800.0,94784.0,71504.0,270.943
2850.0,96639.0,72945.0,271.602
2900.0,98495.0,74383.0,272.249
2950.0,100352.0,75825.0,272.884
3000.0,102210.0,77267.0,273.508
3050.0,104073.0,78715.0,274.123
3100.0,105939.0,80164.0,274.73
3150.0,107802.0,81612.0,275.326
3200.0,109667.0,83061.0,275.914
3250.0,111534.0,84513.0,276.494
