T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
220.0,6601.0,4772.0,202.966
230.0,6938.0,5026.0,204.464
240.0,7280.0,5285.0,205.92
250.0,7627.0,5548.0,207.337
260.0,7979.0,5817.0,208.717
270.0,8335.0,6091.0,210.062
280.0,8697.0,6369.0,211.376
290.0,9063.0,6651.0,212.66
298.0,9364.0,6885.0,213.685
300.0,9431.0,6939.0,213.915
310.0,9807.0,7230.0,215.146
320.0,10186.0,7526.0,216.351
330.0,10570.0,7826.0,217.534
340.0,10959.0,8131.0,218.694
350.0,11351.0,8439.0,219.831
360.0,11748.0,8752.0,220.948
370.0,12148.0,9068.0,222.044
380.0,12552.0,9392.0,223.122
390.0,12960.0,9718.0,224.182
400.0,13372.0,10046.0,225.225
410.0,13787.0,10378.0,226.25
420.0,14206.0,10714.0,227.258
430.0,14628.0,11053.0,228.252
440.0,15054.0,11393.0,229.23
450.0,15483.0,11742.0,230.194
460.0,15916.0,12091.0,231.144
470.0,16351.0,12444.0,232.08
480.0,16791.0,12800.0,233.004
490.0,17232.0,13158.0,233.916
500.0,17678.0,13521.0,234.814
510.0,18126.0,13885.0,235.7
520.0,18576.0,14253.0,236.575
530.0,19029.0,14622.0,237.439
540.0,19485.0,14996.0,238.292
550.0,19945.0,15372.0,239.135
560.0,20407.0,15751.0,239.962
570.0,20870.0,16131.0,240.789
580.0,21337.0,16515.0,241.602
590.0,21807.0,16902.0,242.405
600.0,22280.0,17291.0,243.199
610.0,22754.0,17683.0,243.983
620.0,23231.0,18076.0,244.758
630.0,23709.0,18471.0,245.524
640.0,24190.0,18869.0,246.282
650.0,24674.0,19270.0,247.032
660.0,25160.0,19672.0,247.773
670.0,25648.0,20078.0,248.507
680.0,26138.0,20484.0,249.233
690.0,26631.0,20894.0,249.952
700.0,27125.0,21305.0,250.663
710.0,27622.0,21719.0,251.368
720.0,28121.0,22134.0,252.065
730.0,28622.0,22522.0,252.755
740.0,29124.0,22972.0,253.439
750.0,29629.0,23393.0,254.117
760.0,30135.0,23817.0,254.787
770.0,30644.0,24242.0,255.452
780.0,31154.0,24669.0,256.11
790.0,31665.0,25097.0,256.762
800.0,32179.0,25527.0,257.408
810.0,32694.0,25959.0,258.048
820.0,33212.0,26394.0,258.682
830.0,33730.0,26829.0,259.311
840.0,34251.0,27267.0,259.934
850.0,34773.0,27706.0,260.551
860.0,35296.0,28125.0,261.164
870.0,35821.0,28588.0,261.77
880.0,36347.0,29031.0,262.371
890.0,36876.0,29476.0,262.968
900.0,37405.0,29922.0,263.559
910.0,37935.0,30369.0,264.146
920.0,38467.0,30818.0,264.728
930.0,39000.0,31268.0,265.304
940.0,39535.0,31719.0,265.877
950.0,40070.0,32171.0,266.444
960.0,40607.0,32625.0,267.007
970.0,41145.0,33081.0,267.566
980.0,41685.0,33537.0,268.119
990.0,42226.0,33995.0,268.67
1000.0,42769.0,34455.0,269.215
1020.0,43859.0,35378.0,270.293
1040.0,44953.0,36306.0,271.354
1060.0,46051.0,37238.0,272.4
1080.0,47153.0,38174.0,273.43
1100.0,48258.0,39112.0,274.445
1120.0,49369.0,40057.0,275.444
1140.0,50484.0,41006.0,276.43
1160.0,51602.0,41957.0,277.403
1180.0,52724.0,42913.0,278.361
1200.0,53848.0,43871.0,297.307
1220.0,54977.0,44834.0,280.238
1240.0,56108.0,45799.0,281.158
1260.0,57244.0,46768.0,282.066
1280.0,58381.0,47739.0,282.962
1300.0,59522.0,48713.0,283.847
1320.0,60666.0,49691.0,284.722
1340.0,61813.0,50672.0,285.586
1360.0,62963.0,51656.0,286.439
1380.0,64116.0,52643.0,287.283
1400.0,65271.0,53631.0,288.106
1420.0,66427.0,54621.0,288.934
1440.0,67586.0,55614.0,289.743
1460.0,68748.0,56609.0,290.542
1480.0,66911.0,57606.0,291.333
1500.0,71078.0,58606.0,292.114
1520.0,72246.0,59609.0,292.888
1540.0,73417.0,60613.0,292.654
1560.0,74590.0,61620.0,294.411
1580.0,76767.0,62630.0,295.161
1600.0,76944.0,63741.0,295.901
1620.0,78123.0,64653.0,296.632
1640.0,79303.0,65668.0,297.356
1660.0,80486.0,66592.0,298.072
1680.0,81670.0,67702.0,298.781
1700.0,82856.0,68721.0,299.482
1720.0,84043.0,69742.0,300.177
1740.0,85231.0,70764.0,300.863
1760.0,86420.0,71787.0,301.543
1780.0,87612.0,72812.0,302.217
1800.0,88806.0,73840.0,302.884
1820.0,90000.0,74868.0,303.544
1840.0,91196.0,75897.0,304.198
1860.0,92394.0,76929.0,304.845
1880.0,93593.0,77962.0,305.487
1900.0,94793.0,78996.0,306.122
1920.0,95995.0,80031.0,306.751
1940.0,97197.0,81067.0,307.374
1960.0,98401.0,82105.0,307.992
1980.0,99606.0,83144.0,308.604
2000.0,100804.0,84185.0,309.21
2050.0,103835.0,86791.0,310.701
2100.0,106864.0,89404.0,312.16
2150.0,109898.0,92023.0,313.589
2200.0,112939.0,94648.0,314.988
2250.0,115984.0,97277.0,316.356
2300.0,119035.0,99912.0,317.695
2350.0,122091.0,102552.0,319.011
2400.0,125152.0,105197.0,320.302
2450.0,128219.0,107849.0,321.566
2500.0,131290.0,110504.0,322.808
2550.0,134368.0,113166.0,324.026
2600.0,137449.0,115832.0,325.222
2650.0,140533.0,118500.0,326.396
2700.0,143620.0,121172.0,327.549
2750.0,146713.0,123849.0,328.684
2800.0,149808.0,126528.0,329.8
2850.0,152908.0,129212.0,330.896
2900.0,156009.0,131898.0,331.975
2950.0,159117.0,134589.0,333.037
3000.0,162226.0,137283.0,334.084
3050.0,165341.0,139982.0,335.114
3100.0,168456.0,142681.0,336.126
3150.0,171576.0,145385.0,337.124
3200.0,174695.0,148089.0,338.109
3250.0,177822.0,150801.0,339.069
