T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
220.0,7295.0,5466.0,178.576
230.0,7628.0,5715.0,180.054
240.0,7961.0,5965.0,181.471
250.0,8294.0,6215.0,182.831
260.0,8627.0,6466.0,184.139
270.0,8961.0,6716.0,185.399
280.0,9296.0,6968.0,186.616
290.0,9631.0,7219.0,187.791
298.0,9904.0,7425.0,188.72
300.0,9966.0,7472.0,188.928
310.0,10302.0,7725.0,190.03
320.0,10639.0,7978.0,191.098
330.0,10976.0,8232.0,192.136
340.0,11314.0,8487.0,193.144
350.0,11652.0,8742.0,194.125
360.0,11992.0,8998.0,195.081
370.0,12331.0,9255.0,196.012
380.0,12672.0,9513.0,196.92
390.0,13014.0,9771.0,197.807
400.0,13356.0,10030.0,198.673
410.0,13699.0,10290.0,199.521
420.0,14043.0,10551.0,200.35
430.0,14388.0,10813.0,201.16
440.0,14734.0,11075.0,201.955
450.0,15080.0,11339.0,202.734
460.0,15428.0,11603.0,203.497
470.0,15777.0,11869.0,204.247
480.0,16126.0,12135.0,204.982
490.0,16477.0,12403.0,205.705
500.0,16828.0,12671.0,206.413
510.0,17181.0,12940.0,207.112
520.0,17534.0,13211.0,207.799
530.0,17889.0,13482.0,208.475
540.0,18245.0,13755.0,209.139
550.0,18601.0,14028.0,209.795
560.0,18959.0,14303.0,210.44
570.0,19318.0,14579.0,211.075
580.0,19678.0,14856.0,211.702
590.0,20039.0,15134.0,212.32
600.0,20402.0,15413.0,212.92
610.0,20765.0,15693.0,213.529
620.0,21130.0,15975.0,214.122
630.0,21495.0,16257.0,214.707
640.0,21862.0,16541.0,215.285
650.0,22230.0,16826.0,215.856
660.0,22600.0,17112.0,216.419
670.0,22970.0,17399.0,216.976
680.0,23342.0,17688.0,217.527
690.0,23714.0,17978.0,218.071
700.0,24088.0,18268.0,218.61
710.0,24464.0,18561.0,219.142
720.0,24840.0,18854.0,219.668
730.0,25218.0,19148.0,220.189
740.0,25597.0,19444.0,220.707
750.0,25977.0,19741.0,221.215
760.0,26358.0,20039.0,221.72
770.0,26741.0,20339.0,222.221
780.0,27125.0,20639.0,222.717
790.0,27510.0,20941.0,223.207
800.0,27896.0,21245.0,223.693
810.0,28284.0,21549.0,224.174
820.0,28672.0,21855.0,224.651
830.0,29062.0,22162.0,225.123
840.0,29454.0,22470.0,225.592
850.0,29846.0,22779.0,226.057
860.0,30240.0,23090.0,226.517
870.0,30635.0,23402.0,226.973
880.0,31032.0,23715.0,227.426
890.0,31429.0,24029.0,227.875
900.0,31828.0,24345.0,228.321
910.0,32228.0,24662.0,228.763
920.0,32629.0,24980.0,229.202
930.0,33032.0,25300.0,229.637
940.0,33436.0,25621.0,230.07
950.0,33841.0,25943.0,230.499
960.0,34247.0,26265.0,230.924
970.0,34653.0,26588.0,231.347
980.0,35061.0,26913.0,231.767
990.0,35472.0,27240.0,232.184
1000.0,35882.0,27568.0,232.597
1020.0,36709.0,28228.0,233.415
1040.0,37542.0,28895.0,234.223
1060.0,38380.0,29567.0,235.02
1080.0,39223.0,30243.0,235.806
1100.0,40071.0,30925.0,236.584
1120.0,40923.0,31611.0,237.352
1140.0,41780.0,32301.0,238.11
1160.0,42642.0,32997.0,238.859
1180.0,43509.0,33698.0,239.6
1200.0,44380.0,34403.0,240.333
1220.0,45256.0,35112.0,241.057
1240.0,46137.0,35827.0,241.773
1260.0,47022.0,36546.0,242.482
1280.0,47912.0,37270.0,243.183
1300.0,48807.0,38000.0,243.877
1320.0,49707.0,38732.0,244.564
1340.0,50612.0,39470.0,245.243
1360.0,51521.0,40213.0,245.915
1380.0,52434.0,40960.0,246.582
1400.0,53351.0,41711.0,247.241
1420.0,54273.0,42466.0,247.895
1440.0,55198.0,43226.0,248.543
1460.0,56128.0,43989.0,249.185
1480.0,57062.0,44756.0,249.82
1500.0,57999.0,45528.0,250.45
1520.0,58942.0,46304.0,251.074
1540.0,59888.0,47084.0,251.693
1560.0,60838.0,47868.0,252.305
1580.0,61792.0,48655.0,252.912
1600.0,62748.0,49445.0,253.513
1620.0,63709.0,50240.0,254.111
1640.0,64675.0,51039.0,254.703
1660.0,65643.0,51841.0,255.29
1680.0,66614.0,52646.0,255.873
1700.0,67589.0,53455.0,256.45
1720.0,68567.0,54267.0,257.022
1740.0,69550.0,55083.0,257.589
1760.0,70535.0,55902.0,258.151
1780.0,71523.0,56723.0,258.708
1800.0,72513.0,57547.0,259.262
1820.0,73507.0,58375.0,259.811
1840.0,74506.0,59207.0,260.357
1860.0,75506.0,60042.0,260.898
1880.0,76511.0,60880.0,261.436
1900.0,77517.0,61720.0,261.969
1920.0,78527.0,62564.0,262.497
1940.0,79540.0,63411.0,263.022
1960.0,80555.0,64259.0,263.542
1980.0,81573.0,65111.0,264.059
2000.0,82593.0,65965.0,264.571
2050.0,85156.0,68111.0,265.838
2100.0,87735.0,70275.0,267.081
2150.0,90330.0,72454.0,268.301
2200.0,92940.0,74649.0,269.5
2250.0,95562.0,76855.0,270.679
2300.0,98199.0,79076.0,271.839
2350.0,100846.0,81308.0,272.978
2400.0,103508.0,83553.0,274.098
2450.0,106183.0,85811.0,275.201
2500.0,108868.0,88082.0,276.286
2550.0,111565.0,90364.0,277.354
2600.0,114273.0,92656.0,278.407
2650.0,116991.0,94958.0,279.441
2700.0,119717.0,97269.0,280.462
2750.0,122453.0,99588.0,281.464
2800.0,125198.0,101917.0,282.453
2850.0,127952.0,104256.0,283.429
2900.0,130717.0,106605.0,284.39
2950.0,133486.0,108959.0,285.338
3000.0,136264.0,111321.0,286.273
3050.0,139051.0,113692.0,287.194
3100.0,141846.0,116072.0,288.102
3150.0,144648.0,118458.0,288.999
3200.0,147457.0,120851.0,289.884
3250.0,150272.0,123250.0,290.756
