T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
220.0,6391.0,4562.0,182.639
230.0,6683.0,4770.0,183.938
240.0,6975.0,4979.0,185.18
250.0,7266.0,5188.0,186.37
260.0,7558.0,5396.0,187.514
270.0,7849.0,5604.0,188.614
280.0,8141.0,5813.0,189.673
290.0,8432.0,6021.0,190.695
298.0,8669.0,6190.0,191.502
300.0,8723.0,6229.0,191.682
310.0,9014.0,6437.0,192.638
320.0,9306.0,6645.0,193.562
330.0,9597.0,6853.0,194.459
340.0,9888.0,7061.0,195.328
350.0,10180.0,7270.0,196.173
360.0,10471.0,7478.0,196.995
370.0,10763.0,7687.0,197.794
380.0,11055.0,7895.0,198.572
390.0,11347.0,8104.0,199.331
400.0,11640.0,8314.0,200.071
410.0,11932.0,8523.0,200.794
420.0,12225.0,8733.0,201.499
430.0,12518.0,8943.0,202.189
440.0,12811.0,9153.0,202.863
450.0,13105.0,9363.0,203.523
460.0,13399.0,9574.0,204.17
470.0,13693.0,9786.0,204.803
480.0,13988.0,9997.0,205.424
490.0,14285.0,10210.0,206.033
500.0,14581.0,10423.0,206.63
510.0,14876.0,10635.0,207.216
520.0,15172.0,10848.0,207.792
530.0,15469.0,11062.0,208.358
540.0,15766.0,11277.0,208.914
550.0,16064.0,11492.0,209.461
560.0,16363.0,11707.0,209.999
570.0,16662.0,11923.0,210.528
580.0,16962.0,12139.0,211.049
590.0,17262.0,12356.0,211.562
600.0,17563.0,12574.0,212.066
610.0,17864.0,12792.0,212.564
620.0,18166.0,13011.0,213.055
630.0,18468.0,13230.0,213.541
640.0,18772.0,13450.0,214.018
650.0,19075.0,13671.0,214.489
660.0,19380.0,13892.0,214.954
670.0,19685.0,14114.0,215.413
680.0,19991.0,14337.0,215.866
690.0,20297.0,14560.0,216.314
700.0,20604.0,14784.0,216.756
710.0,20912.0,15008.0,217.192
720.0,21220.0,15234.0,217.624
730.0,21529.0,15460.0,218.059
740.0,21839.0,15686.0,218.472
750.0,22149.0,15913.0,218.889
760.0,22460.0,16141.0,219.301
770.0,22772.0,16370.0,219.709
780.0,23085.0,16599.0,220.113
790.0,23398.0,16830.0,220.512
800.0,23714.0,17061.0,220.907
810.0,24027.0,17292.0,221.298
820.0,24342.0,17524.0,221.684
830.0,24658.0,17757.0,222.067
840.0,24974.0,17990.0,222.447
850.0,25292.0,18224.0,222.822
860.0,25610.0,18459.0,223.194
870.0,25928.0,18695.0,223.562
880.0,26248.0,18931.0,223.927
