T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
298.0,6852.0,4373.0,160.944
300.0,6892.0,4398.0,161.079
500.0,11197.0,7040.0,172.088
1000.0,21713.0,13398.0,186.678
1500.0,32150.0,19679.0,195.143
1600.0,34234.0,20931.0,196.488
1700.0,36317.0,22183.0,197.751
1800.0,38400.0,23434.0,198.941
1900.0,40482.0,24685.0,200.067
2000.0,42564.0,25935.0,201.135
2050.0,43605.0,26560.0,201.649
2100.0,44646.0,27186.0,202.151
2150.0,45687.0,27811.0,202.641
2200.0,46728.0,28436.0,203.119
2250.0,47769.0,29062.0,203.588
2300.0,48811.0,29688.0,204.045
2350.0,49852.0,30314.0,204.493
2400.0,50894.0,30940.0,204.932
2450.0,51936.0,31566.0,205.362
2500.0,52979.0,32193.0,205.783
2550.0,54021.0,32820.0,206.196
2600.0,55064.0,33447.0,206.601
2650.0,56108.0,34075.0,206.999
2700.0,57152.0,34703.0,207.389
2750.0,58196.0,35332.0,207.772
2800.0,59241.0,35961.0,208.148
2850.0,60286.0,36590.0,208.518
2900.0,61332.0,37220.0,208.882
2950.0,62378.0,37851.0,209.24
3000.0,63425.0,38482.0,209.592
3100.0,65520.0,39746.0,210.279
3200.0,67619.0,41013.0,210.945
3300.0,69720.0,42283.0,211.592
3400.0,71824.0,43556.0,212.22
3500.0,73932.0,44832.0,212.831
