T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
220.0,6404.0,4575.0,196.171
230.0,6694.0,4782.0,197.461
240.0,6984.0,4989.0,198.696
250.0,7275.0,5197.0,199.885
260.0,7566.0,5405.0,201.027
270.0,7858.0,5613.0,202.128
280.0,8150.0,5822.0,203.191
290.0,8443.0,6032.0,204.218
298.0,8682.0,6203.0,205.033
300.0,8736.0,6242.0,205.213
310.0,9030.0,6453.0,206.177
320.0,9325.0,6664.0,207.112
330.0,9620.0,6877.0,208.02
340.0,9916.0,7090.0,208.904
350.0,10213.0,7303.0,209.765
360.0,10511.0,7518.0,210.604
370.0,10809.0,7733.0,211.423
380.0,11109.0,7949.0,212.222
390.0,11409.0,8166.0,213.002
400.0,11711.0,8384.0,213.765
410.0,12012.0,8603.0,214.51
420.0,12314.0,8822.0,215.241
430.0,12618.0,9043.0,215.955
440.0,12923.0,9264.0,216.656
450.0,13228.0,9487.0,217.342
460.0,13525.0,9710.0,218.016
470.0,13842.0,9935.0,218.676
480.0,14151.0,10160.0,219.326
490.0,14460.0,10386.0,219.963
500.0,14770.0,10614.0,220.589
510.0,15082.0,10842.0,221.206
520.0,15395.0,11071.0,221.812
530.0,15708.0,11301.0,222.409
540.0,16022.0,11533.0,222.997
550.0,16338.0,11765.0,223.576
560.0,16654.0,11998.0,224.146
570.0,16971.0,12232.0,224.708
580.0,17290.0,12467.0,225.262
590.0,17609.0,12703.0,225.808
600.0,17929.0,12940.0,226.346
610.0,18250.0,13178.0,226.877
620.0,18572.0,13417.0,227.4
630.0,18895.0,13657.0,227.918
640.0,19219.0,13898.0,228.429
650.0,19544.0,14140.0,228.932
660.0,19870.0,14383.0,229.43
670.0,20197.0,14626.0,229.92
680.0,20524.0,14871.0,230.405
690.0,20854.0,15116.0,230.885
700.0,21184.0,15364.0,231.358
710.0,21514.0,15611.0,231.827
720.0,21845.0,15859.0,232.291
730.0,22177.0,16107.0,232.748
740.0,22510.0,16357.0,233.201
750.0,22844.0,16607.0,233.649
760.0,23178.0,16859.0,234.091
770.0,23513.0,17111.0,234.528
780.0,23850.0,17364.0,234.96
790.0,24186.0,17618.0,235.387
800.0,24523.0,17872.0,235.81
810.0,24861.0,18126.0,236.23
820.0,25199.0,18382.0,236.644
830.0,25537.0,18637.0,237.055
840.0,25877.0,18893.0,237.462
850.0,26218.0,19150.0,237.864
860.0,26559.0,19408.0,238.264
870.0,26899.0,19666.0,238.66
880.0,27242.0,19925.0,239.051
890.0,27584.0,20185.0,239.439
900.0,27928.0,20445.0,239.823
910.0,28272.0,20706.0,240.203
920.0,28616.0,20967.0,240.58
930.0,28960.0,21228.0,240.953
940.0,29306.0,21491.0,241.323
950.0,29652.0,21754.0,241.689
960.0,29999.0,22017.0,242.052
970.0,30345.0,22280.0,242.411
980.0,30692.0,22544.0,242.768
990.0,31041.0,22809.0,242.12
1000.0,31389.0,23075.0,243.471
1020.0,32088.0,23607.0,244.164
1040.0,32789.0,24142.0,244.844
1060.0,33490.0,24677.0,245.513
1080.0,34194.0,25214.0,246.171
1100.0,34899.0,25753.0,246.818
1120.0,35606.0,26294.0,247.454
1140.0,36314.0,26836.0,248.081
1160.0,37023.0,27379.0,248.698
1180.0,37734.0,27923.0,249.307
1200.0,38447.0,28469.0,249.906
1220.0,39162.0,29018.0,250.497
1240.0,39877.0,29568.0,251.079
1260.0,40594.0,30118.0,251.653
1280.0,41312.0,30670.0,252.219
1300.0,42033.0,31224.0,252.776
1320.0,42753.0,31778.0,253.325
1340.0,43475.0,32334.0,253.868
1360.0,44198.0,32891.0,254.404
1380.0,44923.0,33449.0,254.932
1400.0,45648.0,34008.0,255.454
1420.0,46374.0,34567.0,255.968
1440.0,47102.0,35129.0,256.475
1460.0,47831.0,35692.0,256.978
1480.0,48561.0,36256.0,257.474
1500.0,49292.0,36821.0,257.965
1520.0,50024.0,37387.0,258.45
1540.0,50756.0,37952.0,258.928
1560.0,51490.0,38520.0,259.402
1580.0,52224.0,39088.0,259.87
1600.0,52961.0,39658.0,260.333
1620.0,53696.0,40227.0,260.791
