T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
298.0,9188.0,6709.0,183.594
300.0,9244.0,6749.0,183.779
500.0,15181.0,11024.0,198.955
1000.0,30123.0,21809.0,219.624
1500.0,46046.0,33575.0,232.506
1600.0,49358.0,36055.0,234.642
1700.0,52706.0,38571.0,236.672
1800.0,56089.0,41123.0,238.606
1900.0,59505.0,43708.0,240.453
2000.0,62952.0,46323.0,242.221
2050.0,64687.0,47642.0,243.077
2100.0,66428.0,48968.0,243.917
2150.0,68177.0,50301.0,244.74
2200.0,69932.0,51641.0,245.547
2250.0,71694.0,52987.0,246.338
2300.0,73462.0,54339.0,247.116
2350.0,75236.0,55697.0,247.879
2400.0,77015.0,57061.0,248.628
2450.0,78801.0,58431.0,249.364
2500.0,80592.0,59806.0,250.088
2550.0,82388.0,61186.0,250.799
2600.0,84189.0,62572.0,251.499
2650.0,85995.0,63962.0,252.187
2700.0,87806.0,65358.0,252.864
2750.0,89622.0,66757.0,253.53
2800.0,91442.0,68162.0,254.186
2850.0,93266.0,69570.0,254.832
2900.0,95095.0,70983.0,255.468
2950.0,96927.0,72400.0,256.094
3000.0,98763.0,73820.0,256.712
3100.0,102447.0,76673.0,257.919
3200.0,106145.0,79539.0,259.093
3300.0,109855.0,82418.0,260.235
3400.0,113578.0,85309.0,261.347
3500.0,117312.0,88212.0,262.429
